# WebRTC latency log
# peerId=v51o29hha_0
# createdAt=2026-06-30T04:28:21.530Z
timestamp,selfId,peerId,connectionType,framesEncoded,totalEncodeTime,encodeMs,framesDecoded,totalDecodeTime,decodeMs
2026-06-30T04:28:21.533Z,v51o29hha_0,b2ys5rwdw_1,sendonly,0,0,,,,
2026-06-30T04:28:26.534Z,v51o29hha_0,b2ys5rwdw_1,sendonly,72,0.804,9.000000000000002,,,
2026-06-30T04:28:32.524Z,v51o29hha_0,b2ys5rwdw_1,sendonly,161,3.629,91.07142857142857,,,
2026-06-30T04:28:32.524Z,v51o29hha_0,y0a51l8rv_2,sendonly,60,1.792,89.21428571428572,,,
2026-06-30T04:28:32.524Z,v51o29hha_0,h5tx1zhsb_3,sendonly,0,0,,,,
2026-06-30T04:28:37.535Z,v51o29hha_0,b2ys5rwdw_1,sendonly,229,11.134,348.82352941176475,,,
2026-06-30T04:28:37.535Z,v51o29hha_0,y0a51l8rv_2,sendonly,128,9.262,346.82352941176475,,,
2026-06-30T04:28:37.535Z,v51o29hha_0,h5tx1zhsb_3,sendonly,72,7.686,282.8095238095238,,,
2026-06-30T04:28:37.535Z,v51o29hha_0,kkpjc3arl_4,sendonly,53,6.53,369.62500000000006,,,
2026-06-30T04:28:37.535Z,v51o29hha_0,3l38a64vh_5,sendonly,0,0,,,,
2026-06-30T04:28:43.536Z,v51o29hha_0,b2ys5rwdw_1,sendonly,312,18.079,17.687500000000078,,,
2026-06-30T04:28:43.536Z,v51o29hha_0,y0a51l8rv_2,sendonly,211,16.184,16.866666666666795,,,
2026-06-30T04:28:43.536Z,v51o29hha_0,h5tx1zhsb_3,sendonly,161,14.708,18.24999999999999,,,
2026-06-30T04:28:43.536Z,v51o29hha_0,kkpjc3arl_4,sendonly,135,13.104,18.66666666666662,,,
2026-06-30T04:28:43.536Z,v51o29hha_0,3l38a64vh_5,sendonly,62,5.975,19.66666666666666,,,
2026-06-30T04:28:43.536Z,v51o29hha_0,dsrvxjg54_6,sendonly,58,4.548,21.000000000000025,,,
2026-06-30T04:28:43.536Z,v51o29hha_0,69t1xqjn0_7,sendonly,55,2.818,21.06250000000001,,,
2026-06-30T04:28:48.542Z,v51o29hha_0,b2ys5rwdw_1,sendonly,387,19.406,18.37500000000003,,,
2026-06-30T04:28:48.542Z,v51o29hha_0,y0a51l8rv_2,sendonly,287,17.609,18.37500000000003,,,
2026-06-30T04:28:48.542Z,v51o29hha_0,h5tx1zhsb_3,sendonly,235,16.141,20.466666666666573,,,
2026-06-30T04:28:48.542Z,v51o29hha_0,kkpjc3arl_4,sendonly,210,14.549,19.533333333333285,,,
2026-06-30T04:28:48.542Z,v51o29hha_0,3l38a64vh_5,sendonly,137,7.444,21.066666666666656,,,
2026-06-30T04:28:48.542Z,v51o29hha_0,dsrvxjg54_6,sendonly,134,6.042,20.187499999999968,,,
2026-06-30T04:28:48.542Z,v51o29hha_0,69t1xqjn0_7,sendonly,130,4.323,20.937500000000025,,,
2026-06-30T04:28:54.537Z,v51o29hha_0,b2ys5rwdw_1,sendonly,462,26.548,264.1818181818181,,,
2026-06-30T04:28:54.537Z,v51o29hha_0,y0a51l8rv_2,sendonly,364,24.626,250.27272727272725,,,
2026-06-30T04:28:54.537Z,v51o29hha_0,h5tx1zhsb_3,sendonly,313,23.315,260.18181818181836,,,
2026-06-30T04:28:54.537Z,v51o29hha_0,kkpjc3arl_4,sendonly,288,21.728,254.90909090909108,,,
2026-06-30T04:28:54.537Z,v51o29hha_0,3l38a64vh_5,sendonly,215,14.751,260.81818181818176,,,
2026-06-30T04:28:54.537Z,v51o29hha_0,dsrvxjg54_6,sendonly,211,13.148,255.72727272727263,,,
2026-06-30T04:28:54.537Z,v51o29hha_0,69t1xqjn0_7,sendonly,207,11.558,258.54545454545445,,,
2026-06-30T04:28:54.537Z,v51o29hha_0,3zr9ecuke_8,sendonly,41,4.412,275.90909090909093,,,
2026-06-30T04:28:54.537Z,v51o29hha_0,ith2mhuur_9,sendonly,0,0,,,,
2026-06-30T04:28:54.537Z,v51o29hha_0,c8umyruvi_10,sendonly,0,0,,,,
2026-06-30T04:28:59.539Z,v51o29hha_0,b2ys5rwdw_1,sendonly,543,31.209,19.400000000000023,,,
2026-06-30T04:28:59.539Z,v51o29hha_0,y0a51l8rv_2,sendonly,445,29.292,20.437500000000107,,,
2026-06-30T04:28:59.539Z,v51o29hha_0,h5tx1zhsb_3,sendonly,392,28.229,21.399999999999864,,,
2026-06-30T04:28:59.539Z,v51o29hha_0,kkpjc3arl_4,sendonly,366,26.64,23.375000000000146,,,
2026-06-30T04:28:59.539Z,v51o29hha_0,3l38a64vh_5,sendonly,295,19.625,24.399999999999977,,,
2026-06-30T04:28:59.539Z,v51o29hha_0,dsrvxjg54_6,sendonly,291,17.984,22.33333333333339,,,
2026-06-30T04:28:59.539Z,v51o29hha_0,69t1xqjn0_7,sendonly,286,16.502,24.799999999999994,,,
2026-06-30T04:28:59.539Z,v51o29hha_0,3zr9ecuke_8,sendonly,117,9.362,24.33333333333335,,,
2026-06-30T04:28:59.539Z,v51o29hha_0,ith2mhuur_9,sendonly,84,7.293,22.20000000000001,,,
2026-06-30T04:28:59.539Z,v51o29hha_0,c8umyruvi_10,sendonly,73,2.367,24.866666666666667,,,
2026-06-30T04:29:05.535Z,v51o29hha_0,b2ys5rwdw_1,sendonly,633,32.964,20.14285714285689,,,
2026-06-30T04:29:05.535Z,v51o29hha_0,y0a51l8rv_2,sendonly,534,31.138,20.214285714285804,,,
2026-06-30T04:29:05.535Z,v51o29hha_0,h5tx1zhsb_3,sendonly,482,30.319,20.79999999999984,,,
2026-06-30T04:29:05.535Z,v51o29hha_0,kkpjc3arl_4,sendonly,455,28.782,24.399999999999977,,,
2026-06-30T04:29:05.535Z,v51o29hha_0,3l38a64vh_5,sendonly,385,21.737,21.866666666666628,,,
2026-06-30T04:29:05.535Z,v51o29hha_0,dsrvxjg54_6,sendonly,381,20.172,23.99999999999996,,,
2026-06-30T04:29:05.535Z,v51o29hha_0,69t1xqjn0_7,sendonly,376,18.717,22.666666666666657,,,
2026-06-30T04:29:05.535Z,v51o29hha_0,3zr9ecuke_8,sendonly,207,11.622,23.599999999999948,,,
2026-06-30T04:29:05.535Z,v51o29hha_0,ith2mhuur_9,sendonly,174,9.502,24.33333333333335,,,
2026-06-30T04:29:05.535Z,v51o29hha_0,c8umyruvi_10,sendonly,163,4.578,24.533333333333356,,,
2026-06-30T04:29:10.538Z,v51o29hha_0,b2ys5rwdw_1,sendonly,708,34.483,19.13333333333327,,,
2026-06-30T04:29:10.538Z,v51o29hha_0,y0a51l8rv_2,sendonly,609,32.742,22.199999999999893,,,
2026-06-30T04:29:10.538Z,v51o29hha_0,h5tx1zhsb_3,sendonly,557,32.045,21.800000000000114,,,
2026-06-30T04:29:10.538Z,v51o29hha_0,kkpjc3arl_4,sendonly,530,30.482,23.199999999999932,,,
2026-06-30T04:29:10.538Z,v51o29hha_0,3l38a64vh_5,sendonly,460,23.537,23.733333333333206,,,
2026-06-30T04:29:10.538Z,v51o29hha_0,dsrvxjg54_6,sendonly,456,22.051,24.26666666666648,,,
